product_name,allergens
,
Indomie Mi Goreng,"Gluten, Kedelai"
Crunchy Oat Granola Tropical Fruits ,"Pisang, Gluten, Kacang-kacangan"
Oat Milk - Oatside,"Gluten, Kedelai"
Teh Pucuk Melati,-
Pringles Sour Cream & Onion,"Gluten, Susu, Kedelai"
Pringles Salt & Seaweed,"Gluten, Kedelai"
POCARI SWEAT,-
"Carman's Super Berry Muesli Bars (Cranberry, Blueberry & Goji)","Gluten, Kacang-kacangan, Biji Wijen, Lupin, Susu, Kacang Tanah, Kedelai"
Indomie Noodles Chicken ,"Seledri, Gluten, Kedelai"
Mi Sedaap Mi Goreng,"Tepung terigu, protein nabati hidrosilikat, kedelai, susu, udang, telur"
Pocky Chocolate,"Susu, Kedelai, dan Gandum"
Teh Kotak,-
Roma Kelapa biskuit,"Gandum, Kedelai"
Ultra Milk,Susu
Beng Beng,"Susu, Tepung terigu"
Bear Brand milk,Susu
Nutella Ferrero,"Susu, Kacang-kacangan, Kedelai"
Kecap Manis Bango,Kedelai
Indomie Mi Goreng Satay Flavour,"Gluten, Kacang Tanah, Biji Wijen, Kedelai"
CocaCola Zero,-
Lays Rasa Rumput Laut (Nori Seaweed Flavour),"Kedelai, Gluten, Gandum, Ikan"
You C1000 Vitamin Lemon,Kedelai
Floridina Orange,-
Quaker oat,Gandum
Indomie Goreng Rendang,"Udang-udangan, Gluten, Susu"
Ultra Milk Low Fat,Susu
KitKat Chunky Nestle,"Gandum, susu, kedelai"
Ultra Milk Coklat,Susu
INDOCAFEE Coffeemix 3 in 1,Susu
Yakult,Susu
Nabati Wafer Coklat,"Gluten, Susu "
Nabati Bites Cheese Cream Wafer,"Gluten, Susu "
ENERGEN SUSU,"Telur, Gluten, Susu, Kedelai"
Cadbury Dairy Milk Fruit & Nut,"Susu, Kacang, Kedelai"
Real Good Uht Coklat,-
Taro Net Seawed,Tepung terigu
Fitbar Multigrain Fruits Delight,"Gluten, Susu, Kedelai"
Chocolatos Drink Garudafood,Susu
Youghurt drink mix fruit Cimory,Susu
Greenfields Chocolate UHT Milk,Susu
Tango Milky Chocolate,"Susu, Kedelai, Kacang-kacangan"
Granova Nuts & Chocolate Sea Salt,"Kacang, Kedelai"
Calbee Protein,"Kacang-kacangan, Kedelai"
Hilo Chocolate,"Susu, Gluten, Whey"
Oatside Oat Milk Barista Blend,"Gluten, Kedelai"
Chocolatos wafer,Whey
Sari Roti Sobek Dup Cokelat Keju,"Tepung terigu, gluten, pasta coklat, susu, pasta keju dan telur."
Kukis Kelapa coconut cookies Denex biscuits,"Tepung Terigu, Susu"
Pie Bis Monde,Tepung terigu
Uleg Sambal Teri Finna Food,"Ikan, Balacan"
Diamond Fresh MilK,Susu
Greenfields Chocolate UHT Milk,Susu
Treasures Milk Delfi,"Gluten, Susu, Kacang-kacangan, Kedelai"
Fanta,-
Richese Nabati,"Bubuk whey, Bubuk Keju, Telur, Kedelai, Hazelnut, Kacang Tanah"
Anlene ACTIFIT 3X Cokelat,Ikan 
Milku Strawberry,"Susu bubuk, Susu bubuk skim"
Sari Roti Sandwich Pandan Sarikaya,"Gluten, Telur, Pengemulsi, Susu"
Buavita Orange Juice,-
ABC KECAP MANIS,"Gluten, Kedelai"
Super bubur ayam,Kedelai
ABC kopi susu,"Susu, Susu bubuk"
Fanta Soda Water,-
Good Day Mocacinno,Krimer non susu
Pop Mie Soto Ayam,"Telur, Ikan, Susu, Kacang-kacangan, Kedelai"
Oatbits Vitafruit,"Susu, Kedelai"
Nü Green Tea Honey,-
Top chocolate,"Susu, Kedelai, Kacang-kacangan"
Qtela Singkong,-
Biokul Yogurt plain,"Susu, Susu Bubuk Skim, Konsentrat Susu"
Plantain Chips (Yellow Banana Chips),-
Kaccha MANGO Bite (Bigger),-
Golda Dolce latte coffee,Susu
Konyaku Grain,-
Selected Roasted Almond,"Kacang, Kedelai"
Pop Mie Kuah Pedes Dower rasa Ayam Pedas,-
Myroti gandum,"Tepung Terigu, Tepung Terigu Utuh, Bubuk Whey, Ekstrak Malt"
Oishi Pillows Cokelat,"Gandum, Susu, Kedelai, Kacang-kacangan, Oat"
Kinder joy,"Susu, Gandum, Barley, Kedelai"
ORIGINAL PHILADELPHIA PORTIONS,Susu
Hydro coco vita,-
Chitato Lite Rumput Laut,"Kedelai, Gandum, Ikan, Kerang"
Indomilk UHT Coklat,Susu
Coffee Oat Milk Oatside,Gluten
Sedap Sedaap cup ayam jerit,"Telur, Susu"
Sedaap tasty beef yakiniku,"Gluten, Kedelai"
Milku Chocolate,Susu
Ultra mimi kids cokelat,"Susu, Laktosa"
Oatside Full Cream,Gluten
SGM Eksplor 3+ coklat,Susu Bubuk
Sukro Oven rasa bawang,"Kacang Tanah, Gandum"
Silverqueen Chunky bar,"Susu, Kedelai"
Teh gelas cup,-
Diamond Susu UHT Full Cream,Susu
Greenfield uht extra vanila,-
Nutriboost rasa jeruk,Susu
L-men gain mass choco,"Susu, protein whey"
Super bubur soto,"Seledri, Kedelai"
Espresso Kopi Susu Kapal Api,Susu
Peanut Pie L'AGIE,"Kacang tanah, Susu"
Cimory UHT Chocolate Milk,Susu
Instant Coffee Top Cafe Palm Sugar,Susu
Ahh siip Nabati,"Keju, whey"
