,Food product,Food image,Barcode,Barcode image,Nutrition facts per serving (g),,,,,Calories ,Ingredients,Allergens
No,,,,,Fat,Carbohydrates,Protein,Sugar,Salt,,,
1,Mi Goreng - Indomie - 80g,product1.jpg,0089686120714(EAN / EAN-13),barcode1.jpg,16.96,48.96,7.00,8.00,2.12,408.48,"wheat flour, edible vegetable oil (palm), salt, acidity regulators (potassium carbonate, sodium carbonate, sodium polyphosphate), thickener (guar gum), colouring (riboflavin), antioxidant (TBHQ). Seasoning powder: sugar, salt, monosodium, glutamate, garlic powder, artificial beef flavour powder, onion powder, yeast extract, caramel. Seasoning Oil: edible vegetable oil (palm), onion, chili powder. sweet soy sauce. Contains: Wheat (Gluten), soybean.","Gluten, Soybeans"
2,Crunchy Oat Granola Tropical Fruits - jordans - 750g,product2.jpg,5010477346032(EAN / EAN-13),barcode2.jpg,14.70,62.90,8.30,22.20,0.05,505.9,"British Wholegrain OAT Flakes (69%), Dried Tropical Fruits (15%) (Dried Papaya (Papaya, Cane Sugar), Coconut Chips, Dried Pineapple Chunks (Pineapple, Cane Sugar, Pineapple Juice, Acidity Regulator (Citric Acid)), Dried Banana Chips (Banana, Coconut Oil, Sugar, Natural Flavouring)), Sugar, Vegetable Oils (Rapeseed Oil, Palm Oil), Honey (1%), Sunflower Seeds, Natural Flavouring. This product contains certified sustainable palm oil. Toasted wholegrain oat & honey clusters with dried papaya, coconut chips, dried pineapple chunks & dried banana chips. Allergy Advice For allergens, including cereals containing gluten, see ingredients in BOLD. May also contain Wheat (Gluten), Barley (Gluten), Rye (Gluten), Nuts.","Banana, Gluten, Nuts"
3,Oat Milk - Oatside - 1 litre,product3.jpg,8997240600041(EAN / EAN-13),barcode3.jpg,6.40,16.20,1.20,1.60,0.20,133.6,"water, oat base (10%), Canola Oil, Acidity Regulator (Dipotassium Phosphate), Calcium Carbonate, Sea Salt","Gluten, Soybeans"
4,Teh Pucuk Melati - 350 ml,product4.jpg,8996001600146(EAN / EAN-13),barcode4.jpg,0.00,18.00,0.00,18.00,0.02,144,"Water, Sugar, Jasmine Tea (Tea Leaves+Mela Flowers) (0.5%), Synthetic Jasmine Flower Flavor, Stabilizer. NO PRESERVATIVES",-
5,Pringles Sour Cream & Onion - 107 g,product5.jpg,"8886467100024(EAN / EAN-13)
",barcode5.jpg,6.83,15.4,1.4,0.575,0.564,130.97,"Dried potatoes (45%), palm oil olein, corn flour, wheat starch, sour cream and onion seasoning [salt, whey containing milk), flavor enhancers (monosodium L-glutamate, disodium 5-imosinate, disodium 5'-guanylate), dextrose, onion powder (0.4%), maltodextrin, sugar, natural flavors (contains milk), milk powder, sour cream powder (contains milk) (0.18%), acidity regulator (citric acid, lactic acid, malic acid), cultured milk (contains milk), yeast extract, anti-caking agent (silicon dioxide), stabilizer (tricalcium phosphate)], vegetable emulsifier, maltodextrin, and acidity regulator citric acid.","Gluten, Milk, Soybeans"
6,Pringles Original 107gr - Pringles Salt & Seaweed - 107g,product6.jpg,"8886467100017(EAN / EAN-13)
",barcode6.jpg,7,15,1,0,0.125,127,"Dried potatoes (46%), palm oil olein, corn starch, wheat starch, vegetable emulsifier, maltodextrin, salt (0.9%), acidity regulator citric acid.","Gluten, Soybeans"
7,POCARI SWEAT 500 ml,product7.jpg,8997035563414(EAN / EAN-13),barcode7.jpg,0,15.5,0,14.5,0.308,120,"Water, sugar, acidity regulator, sodium chloride, potassium chloride, calcium lactate, magnesium carbonate, synthetic flavors, citrus juice, and the antioxidant ascorbic acid. No preservatives or artificial sweeteners. Citrus flavored drink",-
8,"Carman's Super Berry Muesli Bars (Cranberry, Blueberry & Goji) - 270g",product8.jpg,9319133333574(EAN / EAN-13),barcode8.jpg,9.31,22.9,4.46,7.33,0.029,222.55,"Carman's Muesli Blend 80% (Whole Grain Oats 46%, Seeds 16% [Pepitas, Sesame Seeds, Sunflower Seeds], Fruit 14% [Berries (Cranberries 4.3%, Goji Berries 2.9%, Blueberries 1.4%), Currants, Coconut 2.7%], Sunflower Oil, Nuts 6% [Almonds, Pecans], Golden Syrup, Oat Flour, Cinnamon), Glucose, Natural Vanilla Flavour.","Gluten, Nuts, Sesame seeds, Lupin, Milk, Peanuts, Soybeans"
9,Indomie Noodles Chicken - 70 g,product9.jpg,8994963002824(EAN / EAN-13),barcode9.jpg,12.2,44.9,7.7,2.8,3.22,331.4,"Noodles 94% [WHEAT flour, refined palm oil (refined palm oil, antioxidant E319), salt, acidity regulators (E452, E501, E500), thickener: E412, colour: E101] Seasoning Powder 5,6% [Salt, flavour enhancers (E621, E631, E627), sugar, flavouring (contains soybean, celery), white pepper, garlic, anticaking agent: E551, ginger], Chili Powder 0,4%.","Celery, Gluten, Soybeans"
